dep,datetime,P,T,tx_positivite,population,tx_incidence
01,2020-08-01,71.0,4108.0,1.73,643350.0,11.0
01,2020-08-02,71.0,4126.0,1.72,643350.0,11.0
01,2020-08-03,67.0,4043.0,1.66,643350.0,10.4
01,2020-08-04,71.0,4079.0,1.74,643350.0,11.0
01,2020-08-05,74.0,4060.0,1.82,643350.0,11.5
01,2020-08-06,72.0,4045.0,1.78,643350.0,11.2
01,2020-08-07,64.0,4039.0,1.58,643350.0,9.9
01,2020-08-08,67.0,4035.0,1.66,643350.0,10.4
01,2020-08-09,66.0,4011.0,1.65,643350.0,10.3
01,2020-08-10,79.0,4088.0,1.93,643350.0,12.3
01,2020-08-11,76.0,4066.0,1.87,643350.0,11.8
01,2020-08-12,81.0,4066.0,1.99,643350.0,12.6
01,2020-08-13,82.0,4135.0,1.98,643350.0,12.7
01,2020-08-14,98.0,4195.0,2.34,643350.0,15.2
01,2020-08-15,91.0,3982.0,2.29,643350.0,14.1
01,2020-08-16,90.0,4012.0,2.24,643350.0,14.0
01,2020-08-17,97.0,4422.0,2.19,643350.0,15.1
01,2020-08-18,109.0,4638.0,2.35,643350.0,16.9
01,2020-08-19,121.0,4870.0,2.48,643350.0,18.8
01,2020-08-20,138.0,5102.0,2.7,643350.0,21.5
01,2020-08-21,163.0,5367.0,3.04,643350.0,25.3
01,2020-08-22,179.0,5777.0,3.1,643350.0,27.8
01,2020-08-23,181.0,5792.0,3.12,643350.0,28.1
01,2020-08-24,206.0,5916.0,3.48,643350.0,32.0
01,2020-08-25,221.0,6215.0,3.56,643350.0,34.4
01,2020-08-26,249.0,6569.0,3.79,643350.0,38.7
01,2020-08-27,304.0,6899.0,4.41,643350.0,47.3
01,2020-08-28,315.0,7205.0,4.37,643350.0,49.0
01,2020-08-29,322.0,7427.0,4.34,643350.0,50.1
01,2020-08-30,322.0,7428.0,4.33,643350.0,50.1
01,2020-08-31,367.0,7828.0,4.69,643350.0,57.0
01,2020-09-01,402.0,8135.0,4.94,643350.0,62.5
01,2020-09-02,415.0,8374.0,4.96,643350.0,64.5
01,2020-09-03,428.0,8501.0,5.03,643350.0,66.5
01,2020-09-04,445.0,8714.0,5.11,643350.0,69.2
01,2020-09-05,461.0,8802.0,5.24,643350.0,71.7
01,2020-09-06,462.0,8888.0,5.2,643350.0,71.8
01,2020-09-07,453.0,9158.0,4.95,643350.0,70.4
01,2020-09-08,472.0,9676.0,4.88,643350.0,73.4
01,2020-09-09,471.0,9940.0,4.74,643350.0,73.2
01,2020-09-10,473.0,10561.0,4.48,643350.0,73.5
01,2020-09-11,495.0,10963.0,4.52,643350.0,76.9
01,2020-09-12,498.0,10967.0,4.54,643350.0,77.4
01,2020-09-13,500.0,10912.0,4.58,643350.0,77.7
01,2020-09-14,528.0,11554.0,4.57,643350.0,82.1
01,2020-09-15,590.0,11857.0,4.98,643350.0,91.7
01,2020-09-16,676.0,12228.0,5.53,643350.0,105.1
01,2020-09-17,672.0,12063.0,5.57,643350.0,104.5
01,2020-09-18,675.0,11725.0,5.76,643350.0,104.9
01,2020-09-19,661.0,11496.0,5.75,643350.0,102.7
01,2020-09-20,660.0,11473.0,5.75,643350.0,102.6
01,2020-09-21,671.0,10844.0,6.19,643350.0,104.3
01,2020-09-22,621.0,10326.0,6.01,643350.0,96.5
01,2020-09-23,569.0,9691.0,5.87,643350.0,88.4
01,2020-09-24,555.0,9251.0,6.0,643350.0,86.3
01,2020-09-25,534.0,9128.0,5.85,643350.0,83.0
01,2020-09-26,530.0,9139.0,5.8,643350.0,82.4
01,2020-09-27,527.0,9107.0,5.79,643350.0,81.9
01,2020-09-28,494.0,8774.0,5.63,643350.0,76.8
01,2020-09-29,496.0,8352.0,5.94,643350.0,77.1
01,2020-09-30,490.0,8150.0,6.01,643350.0,76.2
01,2020-10-01,511.0,8032.0,6.36,643350.0,79.4
01,2020-10-02,557.0,8033.0,6.93,643350.0,86.6
01,2020-10-03,593.0,8107.0,7.31,643350.0,92.2
