dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime,variant_delta
01,53.0,433.0,0.0,0.0,2021-06-06,0.0
80,260.0,474.0,1.0,0.51,2021-06-06,0.51
53,218.0,347.0,0.0,0.0,2021-06-06,0.0
04,15.0,105.0,0.0,0.0,2021-06-06,0.0
49,262.0,587.0,0.0,0.0,2021-06-06,0.0
05,16.0,118.0,0.0,0.0,2021-06-06,0.0
44,186.0,1154.0,0.0,0.0,2021-06-06,0.0
06,162.0,400.0,1.0,14.29,2021-06-06,14.29
56,185.0,456.0,0.0,0.0,2021-06-06,0.0
13,559.0,2227.0,21.0,10.66,2021-06-06,10.66
72,107.0,533.0,2.0,40.0,2021-06-06,40.0
35,356.0,819.0,0.0,0.0,2021-06-06,0.0
29,364.0,576.0,0.0,0.0,2021-06-06,0.0
84,29.0,429.0,1.0,4.35,2021-06-06,4.35
22,50.0,348.0,0.0,0.0,2021-06-06,0.0
08,8.0,257.0,0.0,0.0,2021-06-06,0.0
90,3.0,116.0,0.0,0.0,2021-06-06,0.0
10,90.0,144.0,0.0,0.0,2021-06-06,0.0
89,197.0,352.0,0.0,0.0,2021-06-06,0.0
51,121.0,420.0,1.0,1.49,2021-06-06,1.49
71,204.0,433.0,4.0,4.08,2021-06-06,4.08
83,263.0,611.0,0.0,0.0,2021-06-06,0.0
52,23.0,118.0,0.0,0.0,2021-06-06,0.0
62,567.0,1406.0,0.0,0.0,2021-06-06,0.0
60,338.0,835.0,0.0,0.0,2021-06-06,0.0
973,428.0,1089.0,0.0,0.0,2021-06-06,0.0
38,163.0,790.0,8.0,22.86,2021-06-06,22.86
972,19.0,83.0,0.0,0.0,2021-06-06,0.0
42,421.0,1110.0,0.0,0.0,2021-06-06,0.0
971,39.0,243.0,0.0,0.0,2021-06-06,0.0
43,60.0,241.0,0.0,0.0,2021-06-06,0.0
95,494.0,1722.0,6.0,3.59,2021-06-06,3.59
63,51.0,471.0,1.0,2.5,2021-06-06,2.5
94,543.0,1757.0,5.0,3.65,2021-06-06,3.65
85,64.0,362.0,0.0,0.0,2021-06-06,0.0
69,394.0,1949.0,4.0,4.12,2021-06-06,4.12
73,114.0,282.0,0.0,0.0,2021-06-06,0.0
92,493.0,1819.0,8.0,7.34,2021-06-06,7.34
74,13.0,637.0,0.0,0.0,2021-06-06,0.0
91,634.0,1505.0,13.0,3.47,2021-06-06,3.47
02,102.0,445.0,0.0,0.0,2021-06-06,0.0
78,721.0,1632.0,4.0,1.37,2021-06-06,1.37
59,1096.0,2947.0,4.0,0.48,2021-06-06,0.48
77,595.0,1558.0,2.0,1.18,2021-06-06,1.18
75,690.0,2553.0,7.0,3.0,2021-06-06,3.0
93,470.0,2332.0,9.0,3.88,2021-06-06,3.88
70,131.0,195.0,0.0,0.0,2021-06-06,0.0
54,236.0,490.0,0.0,0.0,2021-06-06,0.0
58,15.0,100.0,0.0,0.0,2021-06-06,0.0
46,10.0,93.0,0.0,0.0,2021-06-06,0.0
79,150.0,222.0,0.0,0.0,2021-06-06,0.0
48,2.0,30.0,0.0,0.0,2021-06-06,0.0
64,17.0,659.0,3.0,25.0,2021-06-06,25.0
47,40.0,192.0,0.0,0.0,2021-06-06,0.0
65,31.0,138.0,0.0,0.0,2021-06-06,0.0
40,10.0,399.0,5.0,83.33,2021-06-06,83.33
66,9.0,423.0,1.0,33.33,2021-06-06,33.33
33,110.0,1272.0,1.0,4.0,2021-06-06,4.0
86,169.0,215.0,0.0,0.0,2021-06-06,0.0
81,165.0,347.0,0.0,0.0,2021-06-06,0.0
82,10.0,197.0,0.0,0.0,2021-06-06,0.0
23,1.0,24.0,0.0,0.0,2021-06-06,0.0
14,120.0,484.0,3.0,3.33,2021-06-06,3.33
19,35.0,168.0,0.0,0.0,2021-06-06,0.0
27,274.0,664.0,0.0,0.0,2021-06-06,0.0
17,13.0,248.0,0.0,0.0,2021-06-06,0.0
50,152.0,427.0,1.0,0.71,2021-06-06,0.71
16,53.0,129.0,0.0,0.0,2021-06-06,0.0
61,108.0,300.0,0.0,0.0,2021-06-06,0.0
24,48.0,228.0,0.0,0.0,2021-06-06,0.0
34,77.0,997.0,0.0,0.0,2021-06-06,0.0
87,2.0,227.0,0.0,0.0,2021-06-06,0.0
32,23.0,129.0,0.0,0.0,2021-06-06,0.0
39,138.0,195.0,0.0,0.0,2021-06-06,0.0
55,61.0,102.0,0.0,0.0,2021-06-06,0.0
25,240.0,481.0,0.0,0.0,2021-06-06,0.0
57,365.0,727.0,0.0,0.0,2021-06-06,0.0
21,287.0,724.0,0.0,0.0,2021-06-06,0.0
67,535.0,1188.0,1.0,12.5,2021-06-06,12.5
2B,10.0,44.0,0.0,0.0,2021-06-06,0.0
68,425.0,789.0,0.0,0.0,2021-06-06,0.0
2A,27.0,52.0,0.0,0.0,2021-06-06,0.0
88,74.0,283.0,0.0,0.0,2021-06-06,0.0
45,256.0,877.0,0.0,0.0,2021-06-06,0.0
09,25.0,71.0,0.0,0.0,2021-06-06,0.0
41,47.0,196.0,0.0,0.0,2021-06-06,0.0
11,74.0,240.0,0.0,0.0,2021-06-06,0.0
37,97.0,371.0,2.0,2.44,2021-06-06,2.44
12,2.0,163.0,0.0,0.0,2021-06-06,0.0
36,70.0,188.0,0.0,0.0,2021-06-06,0.0
30,17.0,609.0,1.0,33.33,2021-06-06,33.33
28,31.0,381.0,0.0,0.0,2021-06-06,0.0
31,374.0,1395.0,0.0,0.0,2021-06-06,0.0
18,132.0,193.0,0.0,0.0,2021-06-06,0.0
26,129.0,247.0,0.0,0.0,2021-06-06,0.0
974,76.0,1472.0,0.0,0.0,2021-06-06,0.0
76,439.0,1127.0,1.0,0.52,2021-06-06,0.52
976,1.0,34.0,0.0,0.0,2021-06-06,0.0
07,77.0,194.0,0.0,0.0,2021-06-06,0.0
03,6.0,273.0,0.0,0.0,2021-06-06,0.0
15,17.0,71.0,0.0,0.0,2021-06-06,0.0
78,729.0,1523.0,4.0,1.17,2021-06-07,1.17
55,74.0,94.0,0.0,0.0,2021-06-07,0.0
39,134.0,190.0,0.0,0.0,2021-06-07,0.0
56,185.0,437.0,0.0,0.0,2021-06-07,0.0
16,47.0,108.0,0.0,0.0,2021-06-07,0.0
17,41.0,212.0,3.0,9.38,2021-06-07,9.38
34,162.0,952.0,0.0,0.0,2021-06-07,0.0
41,39.0,172.0,0.0,0.0,2021-06-07,0.0
89,188.0,299.0,0.0,0.0,2021-06-07,0.0
25,207.0,429.0,0.0,0.0,2021-06-07,0.0
77,547.0,1368.0,7.0,3.85,2021-06-07,3.85
59,1007.0,2656.0,8.0,1.1,2021-06-07,1.1
42,415.0,981.0,0.0,0.0,2021-06-07,0.0
37,92.0,346.0,3.0,4.05,2021-06-07,4.05
06,151.0,396.0,1.0,14.29,2021-06-07,14.29
29,346.0,562.0,0.0,0.0,2021-06-07,0.0
28,30.0,322.0,0.0,0.0,2021-06-07,0.0
44,167.0,1049.0,2.0,3.85,2021-06-07,3.85
50,145.0,369.0,1.0,0.74,2021-06-07,0.74
32,27.0,128.0,0.0,0.0,2021-06-07,0.0
972,19.0,81.0,0.0,0.0,2021-06-07,0.0
40,14.0,385.0,10.0,90.91,2021-06-07,90.91
92,544.0,1640.0,9.0,6.98,2021-06-07,6.98
19,42.0,160.0,0.0,0.0,2021-06-07,0.0
33,127.0,1177.0,3.0,6.67,2021-06-07,6.67
81,163.0,310.0,0.0,0.0,2021-06-07,0.0
21,280.0,654.0,0.0,0.0,2021-06-07,0.0
95,503.0,1563.0,3.0,1.52,2021-06-07,1.52
74,16.0,573.0,0.0,0.0,2021-06-07,0.0
27,250.0,606.0,0.0,0.0,2021-06-07,0.0
03,24.0,249.0,0.0,0.0,2021-06-07,0.0
91,593.0,1371.0,12.0,3.17,2021-06-07,3.17
90,4.0,102.0,0.0,0.0,2021-06-07,0.0
976,1.0,38.0,0.0,0.0,2021-06-07,0.0
30,38.0,562.0,1.0,50.0,2021-06-07,50.0
36,58.0,162.0,0.0,0.0,2021-06-07,0.0
67,492.0,1119.0,12.0,48.0,2021-06-07,48.0
64,21.0,582.0,3.0,20.0,2021-06-07,20.0
48,1.0,22.0,0.0,0.0,2021-06-07,0.0
83,246.0,566.0,0.0,0.0,2021-06-07,0.0
11,70.0,198.0,0.0,0.0,2021-06-07,0.0
63,45.0,442.0,1.0,2.94,2021-06-07,2.94
43,75.0,203.0,0.0,0.0,2021-06-07,0.0
10,84.0,127.0,0.0,0.0,2021-06-07,0.0
79,134.0,191.0,0.0,0.0,2021-06-07,0.0
02,126.0,398.0,0.0,0.0,2021-06-07,0.0
08,30.0,232.0,0.0,0.0,2021-06-07,0.0
13,528.0,2040.0,19.0,9.27,2021-06-07,9.27
2B,13.0,46.0,0.0,0.0,2021-06-07,0.0
971,37.0,227.0,0.0,0.0,2021-06-07,0.0
46,10.0,91.0,0.0,0.0,2021-06-07,0.0
76,427.0,975.0,0.0,0.0,2021-06-07,0.0
85,70.0,308.0,0.0,0.0,2021-06-07,0.0
73,116.0,258.0,0.0,0.0,2021-06-07,0.0
45,272.0,817.0,0.0,0.0,2021-06-07,0.0
87,5.0,198.0,0.0,0.0,2021-06-07,0.0
62,516.0,1230.0,0.0,0.0,2021-06-07,0.0
22,45.0,324.0,0.0,0.0,2021-06-07,0.0
24,51.0,223.0,0.0,0.0,2021-06-07,0.0
52,36.0,110.0,0.0,0.0,2021-06-07,0.0
04,11.0,82.0,1.0,20.0,2021-06-07,20.0
23,0.0,26.0,0.0,0.0,2021-06-07,0.0
70,108.0,169.0,0.0,0.0,2021-06-07,0.0
82,15.0,202.0,0.0,0.0,2021-06-07,0.0
69,537.0,1789.0,8.0,5.37,2021-06-07,5.37
26,112.0,236.0,0.0,0.0,2021-06-07,0.0
84,21.0,373.0,2.0,11.76,2021-06-07,11.76
53,178.0,288.0,0.0,0.0,2021-06-07,0.0
