dep,datetime,hosp_pour_100k,rea_pour_100k,tx_incidence,tx_positivite,taux_occupation_sae
65,2020-09-01,3.1,0.0,,,
66,2020-09-01,1.1,0.2,,,
67,2020-09-01,8.3,0.4,,,
68,2020-09-01,15.2,0.5,,,
73,2020-09-01,1.4,0.0,,,
70,2020-09-01,0.0,0.0,,,
71,2020-09-01,0.7,0.4,,,
72,2020-09-01,5.5,0.2,,,
69,2020-09-01,6.7,1.1,,,
64,2020-09-01,1.0,0.1,,,
52,2020-09-01,4.0,0.0,,,
62,2020-09-01,6.1,0.7,,,
61,2020-09-01,3.9,0.4,,,
60,2020-09-01,14.4,0.1,,,
59,2020-09-01,5.3,0.5,,,
58,2020-09-01,0.5,0.0,,,
57,2020-09-01,8.6,0.3,,,
56,2020-09-01,2.0,0.0,,,
55,2020-09-01,1.1,0.0,,,
54,2020-09-01,6.1,0.0,,,
53,2020-09-01,3.3,0.3,,,
74,2020-09-01,3.5,0.1,,,
63,2020-09-01,3.4,0.0,,,
75,2020-09-01,13.4,1.9,,,
87,2020-09-01,1.1,0.3,,,
77,2020-09-01,10.3,1.1,,,
51,2020-09-01,8.4,0.7,,,
974,2020-09-01,8.2,1.6,,,
973,2020-09-01,32.8,4.1,,,
972,2020-09-01,3.8,0.8,,,
971,2020-09-01,5.9,2.6,,,
95,2020-09-01,17.7,1.0,,,
94,2020-09-01,21.4,1.3,,,
93,2020-09-01,23.7,1.5,,,
92,2020-09-01,30.8,1.7,,,
91,2020-09-01,16.7,1.1,,,
76,2020-09-01,2.3,0.1,,,
90,2020-09-01,2.1,0.7,,,
88,2020-09-01,4.1,0.0,,,
86,2020-09-01,0.2,0.0,,,
85,2020-09-01,0.9,0.0,,,
84,2020-09-01,3.2,0.9,,,
83,2020-09-01,4.7,0.3,,,
82,2020-09-01,1.5,0.4,,,
81,2020-09-01,1.8,0.3,,,
80,2020-09-01,7.2,0.5,,,
79,2020-09-01,0.3,0.0,,,
78,2020-09-01,16.0,1.0,,,
89,2020-09-01,1.5,0.3,,,
976,2020-09-01,2.3,0.8,,,
50,2020-09-01,1.6,0.0,,,
48,2020-09-01,1.3,0.0,,,
23,2020-09-01,0.0,0.0,,,
22,2020-09-01,1.0,0.0,,,
21,2020-09-01,0.9,0.2,,,
19,2020-09-01,0.8,0.0,,,
18,2020-09-01,0.0,0.0,,,
17,2020-09-01,0.6,0.2,,,
16,2020-09-01,0.3,0.0,,,
15,2020-09-01,2.1,0.7,,,
14,2020-09-01,0.1,0.0,,,
12,2020-09-01,1.8,0.0,,,
24,2020-09-01,1.2,0.2,,,
11,2020-09-01,1.6,0.3,,,
09,2020-09-01,0.7,0.7,,,
08,2020-09-01,1.1,0.0,15.1,1.02,3.4
07,2020-09-01,3.7,0.3,26.3,2.48,6.4
06,2020-09-01,6.2,0.4,126.6,4.86,12.0
05,2020-09-01,2.8,0.7,29.6,2.89,12.0
04,2020-09-01,5.5,0.6,47.8,2.57,12.0
03,2020-09-01,0.9,0.0,19.0,1.47,6.4
02,2020-09-01,7.1,0.2,23.4,3.41,6.6
01,2020-09-01,4.2,0.3,61.2,5.03,6.4
49,2020-09-01,3.2,0.9,,,
10,2020-09-01,4.5,0.0,,,
25,2020-09-01,0.7,0.2,,,
13,2020-09-01,11.8,2.0,,,
27,2020-09-01,2.7,0.0,,,
26,2020-09-01,1.2,0.2,,,
46,2020-09-01,0.6,0.0,,,
45,2020-09-01,3.7,0.6,,,
44,2020-09-01,1.1,0.1,,,
43,2020-09-01,0.9,0.4,,,
42,2020-09-01,6.0,0.3,,,
41,2020-09-01,3.6,0.0,,,
40,2020-09-01,0.5,0.0,,,
39,2020-09-01,0.8,0.0,,,
38,2020-09-01,2.4,0.6,,,
37,2020-09-01,1.0,0.2,,,
47,2020-09-01,2.1,0.3,,,
35,2020-09-01,3.3,0.5,,,
36,2020-09-01,1.8,0.4,,,
29,2020-09-01,1.0,0.1,,,
2A,2020-09-01,2.5,0.0,,,
2B,2020-09-01,3.9,1.1,,,
30,2020-09-01,2.2,0.5,,,
28,2020-09-01,1.6,0.2,,,
32,2020-09-01,2.6,1.0,,,
33,2020-09-01,3.3,0.5,,,
34,2020-09-01,3.9,0.8,,,
31,2020-09-01,4.1,0.4,,,
64,2020-09-02,0.9,0.1,,,
72,2020-09-02,4.8,0.4,,,
71,2020-09-02,1.1,0.5,,,
70,2020-09-02,0.0,0.0,,,
69,2020-09-02,7.4,1.2,,,
68,2020-09-02,14.8,0.7,,,
67,2020-09-02,7.8,0.5,,,
73,2020-09-02,1.9,0.0,,,
66,2020-09-02,1.3,0.4,,,
65,2020-09-02,1.8,0.0,,,
63,2020-09-02,3.4,0.0,,,
58,2020-09-02,1.0,0.0,,,
61,2020-09-02,3.2,0.4,,,
60,2020-09-02,14.6,0.1,,,
59,2020-09-02,5.3,0.7,,,
57,2020-09-02,8.5,0.2,,,
56,2020-09-02,1.9,0.0,,,
55,2020-09-02,1.1,0.0,,,
54,2020-09-02,6.3,0.1,,,
53,2020-09-02,2.0,0.3,,,
52,2020-09-02,4.0,0.0,,,
74,2020-09-02,3.6,0.1,,,
62,2020-09-02,6.3,0.7,,,
75,2020-09-02,13.4,1.9,,,
51,2020-09-02,8.4,0.7,,,
77,2020-09-02,10.2,1.1,,,
974,2020-09-02,8.3,1.6,,,
973,2020-09-02,26.1,2.6,,,
972,2020-09-02,3.5,1.1,,,
971,2020-09-02,5.1,2.3,,,
95,2020-09-02,17.7,0.9,,,
94,2020-09-02,21.7,1.2,,,
93,2020-09-02,23.5,1.7,,,
92,2020-09-02,31.1,1.9,,,
91,2020-09-02,16.2,1.0,,,
90,2020-09-02,1.4,0.7,,,
76,2020-09-02,2.2,0.1,,,
89,2020-09-02,2.4,0.3,,,
87,2020-09-02,1.3,0.3,,,
86,2020-09-02,0.0,0.0,,,
85,2020-09-02,1.0,0.0,,,
84,2020-09-02,3.6,0.7,,,
83,2020-09-02,4.7,0.3,,,
82,2020-09-02,1.5,0.4,,,
81,2020-09-02,1.5,0.3,,,
80,2020-09-02,7.3,0.5,,,
79,2020-09-02,0.0,0.0,,,
78,2020-09-02,16.5,1.0,,,
88,2020-09-02,3.8,0.0,,,
50,2020-09-02,1.6,0.0,,,
976,2020-09-02,2.3,0.8,,,
48,2020-09-02,2.6,0.0,,,
23,2020-09-02,0.0,0.0,,,
22,2020-09-02,1.2,0.0,,,
21,2020-09-02,1.3,0.2,,,
19,2020-09-02,0.8,0.0,,,
18,2020-09-02,0.0,0.0,,,
17,2020-09-02,0.6,0.2,,,
16,2020-09-02,0.3,0.0,,,
15,2020-09-02,2.1,0.7,,,
14,2020-09-02,0.1,0.0,,,
13,2020-09-02,12.8,2.3,,,
24,2020-09-02,1.0,0.2,,,
12,2020-09-02,2.5,0.0,,,
10,2020-09-02,4.5,0.0,,,
09,2020-09-02,0.7,0.7,,,
08,2020-09-02,1.1,0.0,17.3,1.14,3.9
07,2020-09-02,3.7,0.3,28.2,2.62,7.0
06,2020-09-02,7.6,0.6,131.8,5.21,13.7
05,2020-09-02,2.8,0.7,31.7,3.01,13.7
04,2020-09-02,5.5,0.6,44.2,2.3,13.7
03,2020-09-02,0.9,0.0,18.4,1.37,7.0
02,2020-09-02,7.1,0.2,21.7,3.11,7.5
01,2020-09-02,4.4,0.3,63.2,5.01,7.0
11,2020-09-02,1.9,0.3,,,
25,2020-09-02,0.6,0.2,,,
49,2020-09-02,3.0,0.9,,,
27,2020-09-02,2.5,0.0,,,
47,2020-09-02,2.1,0.3,,,
46,2020-09-02,0.6,0.0,,,
45,2020-09-02,4.0,0.9,,,
44,2020-09-02,1.0,0.1,,,
43,2020-09-02,0.9,0.4,,,
