dep,datetime,P,T,tx_positivite,population,tx_incidence
01,2021-01-01,1021.0,14076.0,7.25,643350.0,158.7
01,2021-01-02,1034.0,13978.0,7.4,643350.0,160.7
01,2021-01-03,1042.0,13968.0,7.46,643350.0,162.0
01,2021-01-04,1121.0,13842.0,8.1,643350.0,174.2
01,2021-01-05,1170.0,13900.0,8.42,643350.0,181.9
01,2021-01-06,1147.0,13067.0,8.78,643350.0,178.3
01,2021-01-07,1188.0,12782.0,9.29,643350.0,184.7
01,2021-01-08,1437.0,15335.0,9.37,643350.0,223.4
01,2021-01-09,1414.0,15074.0,9.38,643350.0,219.8
01,2021-01-10,1432.0,15116.0,9.47,643350.0,222.6
01,2021-01-11,1379.0,14967.0,9.21,643350.0,214.3
01,2021-01-12,1329.0,14649.0,9.07,643350.0,206.6
01,2021-01-13,1358.0,14550.0,9.33,643350.0,211.1
01,2021-01-14,1354.0,14373.0,9.42,643350.0,210.5
01,2021-01-15,1336.0,14367.0,9.3,643350.0,207.7
01,2021-01-16,1350.0,14357.0,9.4,643350.0,209.8
01,2021-01-17,1314.0,14217.0,9.24,643350.0,204.2
01,2021-01-18,1371.0,14193.0,9.66,643350.0,213.1
01,2021-01-19,1407.0,14246.0,9.88,643350.0,218.7
01,2021-01-20,1410.0,14483.0,9.74,643350.0,219.2
01,2021-01-21,1434.0,14624.0,9.81,643350.0,222.9
01,2021-01-22,1431.0,14796.0,9.67,643350.0,222.4
01,2021-01-23,1465.0,14889.0,9.84,643350.0,227.7
01,2021-01-24,1480.0,14915.0,9.92,643350.0,230.0
01,2021-01-25,1521.0,15435.0,9.85,643350.0,236.4
01,2021-01-26,1568.0,15963.0,9.82,643350.0,243.7
01,2021-01-27,1568.0,16099.0,9.74,643350.0,243.7
01,2021-01-28,1565.0,16811.0,9.31,643350.0,243.3
01,2021-01-29,1608.0,17541.0,9.17,643350.0,249.9
01,2021-01-30,1613.0,17716.0,9.1,643350.0,250.7
01,2021-01-31,1607.0,17741.0,9.06,643350.0,249.8
01,2021-02-01,1619.0,18626.0,8.69,643350.0,251.7
01,2021-02-02,1589.0,19003.0,8.36,643350.0,247.0
01,2021-02-03,1642.0,20024.0,8.2,643350.0,255.2
01,2021-02-04,1668.0,20829.0,8.01,643350.0,259.3
01,2021-02-05,1641.0,21022.0,7.81,643350.0,255.1
01,2021-02-06,1600.0,21073.0,7.59,643350.0,248.7
01,2021-02-07,1594.0,21057.0,7.57,643350.0,247.8
01,2021-02-08,1472.0,20141.0,7.31,643350.0,228.8
01,2021-02-09,1472.0,19446.0,7.57,643350.0,228.8
01,2021-02-10,1417.0,18604.0,7.62,643350.0,220.3
01,2021-02-11,1358.0,17454.0,7.78,643350.0,211.1
01,2021-02-12,1314.0,16662.0,7.89,643350.0,204.2
01,2021-02-13,1313.0,16581.0,7.92,643350.0,204.1
01,2021-02-14,1314.0,16556.0,7.94,643350.0,204.2
01,2021-02-15,1328.0,16086.0,8.26,643350.0,206.4
01,2021-02-16,1273.0,15634.0,8.14,643350.0,197.9
01,2021-02-17,1236.0,14967.0,8.26,643350.0,192.1
01,2021-02-18,1257.0,14313.0,8.78,643350.0,195.4
01,2021-02-19,1254.0,13801.0,9.09,643350.0,194.9
01,2021-02-20,1261.0,13539.0,9.31,643350.0,196.0
01,2021-02-21,1270.0,13556.0,9.37,643350.0,197.4
01,2021-02-22,1315.0,13625.0,9.65,643350.0,204.4
01,2021-02-23,1330.0,14335.0,9.28,643350.0,206.7
01,2021-02-24,1379.0,14536.0,9.49,643350.0,214.3
01,2021-02-25,1354.0,15357.0,8.82,643350.0,210.5
01,2021-02-26,1374.0,16383.0,8.39,643350.0,213.6
01,2021-02-27,1372.0,16554.0,8.29,643350.0,213.3
01,2021-02-28,1358.0,16569.0,8.2,643350.0,211.1
01,2021-03-01,1288.0,17252.0,7.47,643350.0,200.2
01,2021-03-02,1242.0,17432.0,7.12,643350.0,193.1
01,2021-03-03,1176.0,17550.0,6.7,643350.0,182.8
01,2021-03-04,1141.0,17669.0,6.46,643350.0,177.4
01,2021-03-05,1111.0,17319.0,6.41,643350.0,172.7
01,2021-03-06,1109.0,17299.0,6.41,643350.0,172.4
01,2021-03-07,1112.0,17358.0,6.41,643350.0,172.8
01,2021-03-08,1119.0,17753.0,6.3,643350.0,173.9
01,2021-03-09,1167.0,18112.0,6.44,643350.0,181.4
01,2021-03-10,1177.0,18710.0,6.29,643350.0,182.9
01,2021-03-11,1230.0,19453.0,6.32,643350.0,191.2
01,2021-03-12,1296.0,20863.0,6.21,643350.0,201.4
01,2021-03-13,1319.0,21180.0,6.23,643350.0,205.0
01,2021-03-14,1328.0,21238.0,6.25,643350.0,206.4
01,2021-03-15,1400.0,21818.0,6.42,643350.0,217.6
01,2021-03-16,1496.0,22556.0,6.63,643350.0,232.5
01,2021-03-17,1550.0,22862.0,6.78,643350.0,240.9
01,2021-03-18,1614.0,23350.0,6.91,643350.0,250.9
01,2021-03-19,1653.0,23379.0,7.07,643350.0,256.9
01,2021-03-20,1687.0,23622.0,7.14,643350.0,262.2
02,2021-01-01,906.0,11860.0,7.64,534490.0,169.5
02,2021-01-02,935.0,12281.0,7.61,534490.0,174.9
02,2021-01-03,930.0,12270.0,7.58,534490.0,174.0
02,2021-01-04,905.0,12874.0,7.03,534490.0,169.3
02,2021-01-05,842.0,12355.0,6.82,534490.0,157.5
02,2021-01-06,832.0,11625.0,7.16,534490.0,155.7
02,2021-01-07,847.0,11675.0,7.25,534490.0,158.5
02,2021-01-08,1029.0,14152.0,7.27,534490.0,192.5
02,2021-01-09,1015.0,13895.0,7.3,534490.0,189.9
02,2021-01-10,1017.0,13872.0,7.33,534490.0,190.3
02,2021-01-11,1081.0,13356.0,8.09,534490.0,202.2
02,2021-01-12,1113.0,13925.0,7.99,534490.0,208.2
02,2021-01-13,1131.0,13851.0,8.17,534490.0,211.6
02,2021-01-14,1160.0,14149.0,8.2,534490.0,217.0
02,2021-01-15,1155.0,13966.0,8.27,534490.0,216.1
02,2021-01-16,1154.0,14090.0,8.19,534490.0,215.9
02,2021-01-17,1156.0,14101.0,8.2,534490.0,216.3
02,2021-01-18,1181.0,14403.0,8.2,534490.0,221.0
02,2021-01-19,1212.0,14122.0,8.58,534490.0,226.8
02,2021-01-20,1255.0,14657.0,8.56,534490.0,234.8
02,2021-01-21,1305.0,14714.0,8.87,534490.0,244.2
02,2021-01-22,1340.0,15004.0,8.93,534490.0,250.7
02,2021-01-23,1351.0,15065.0,8.97,534490.0,252.8
02,2021-01-24,1355.0,15048.0,9.0,534490.0,253.5
02,2021-01-25,1395.0,15312.0,9.11,534490.0,261.0
02,2021-01-26,1423.0,15631.0,9.1,534490.0,266.2
02,2021-01-27,1423.0,15694.0,9.07,534490.0,266.2
02,2021-01-28,1397.0,15930.0,8.77,534490.0,261.4
02,2021-01-29,1387.0,16208.0,8.56,534490.0,259.5
02,2021-01-30,1395.0,16295.0,8.56,534490.0,261.0
02,2021-01-31,1391.0,16312.0,8.53,534490.0,260.2
02,2021-02-01,1368.0,16245.0,8.42,534490.0,255.9
02,2021-02-02,1359.0,16423.0,8.27,534490.0,254.3
02,2021-02-03,1384.0,16571.0,8.35,534490.0,258.9
02,2021-02-04,1412.0,16573.0,8.52,534490.0,264.2
02,2021-02-05,1410.0,16563.0,8.51,534490.0,263.8
02,2021-02-06,1410.0,16721.0,8.43,534490.0,263.8
02,2021-02-07,1411.0,16718.0,8.44,534490.0,264.0
02,2021-02-08,1439.0,17170.0,8.38,534490.0,269.2
02,2021-02-09,1455.0,17461.0,8.33,534490.0,272.2
02,2021-02-10,1452.0,17438.0,8.33,534490.0,271.7
02,2021-02-11,1422.0,17772.0,8.0,534490.0,266.0
02,2021-02-12,1421.0,17560.0,8.09,534490.0,265.9
02,2021-02-13,1390.0,17319.0,8.03,534490.0,260.1
02,2021-02-14,1392.0,17299.0,8.05,534490.0,260.4
02,2021-02-15,1337.0,16833.0,7.94,534490.0,250.1
02,2021-02-16,1270.0,16536.0,7.68,534490.0,237.6
02,2021-02-17,1209.0,16335.0,7.4,534490.0,226.2
02,2021-02-18,1201.0,15938.0,7.54,534490.0,224.7
02,2021-02-19,1216.0,15842.0,7.68,534490.0,227.5
02,2021-02-20,1253.0,16043.0,7.81,534490.0,234.4
02,2021-02-21,1252.0,16067.0,7.79,534490.0,234.2
02,2021-02-22,1207.0,15676.0,7.7,534490.0,225.8
02,2021-02-23,1273.0,15239.0,8.35,534490.0,238.2
02,2021-02-24,1329.0,15143.0,8.78,534490.0,248.6
